,best_match_score,Facility Name,Provider Name,Address,Provider Street Address,Provider City,City,Provider State,State
557956,-0.559150812700381,RICE MEDICAL CENTER,MISSION REGIONAL MEDICAL CENTER,600 SOUTH AUSTIN ROAD,900 SOUTH BRYAN ROAD,MISSION,EAGLE LAKE,TX,TX
301271,-0.5583878806063468,SOUTHERN VIRGINIA MENTAL HEALTH INSTITUTE,SOUTHERN VIRGINIA REGIONAL MEDICAL CENTER,382 TAYLOR DRIVE,727 NORTH MAIN STREET,EMPORIA,DANVILLE,VA,VA
164152,-0.5581200753771344,SOUTHERN COOS HOSPITAL & HEALTH CENTER,ST FRANCIS HEALTH CENTER INC,900 11TH STREET SE,1700 SW 7TH STREET,TOPEKA,BANDON,KS,OR
369379,-0.5579199962232815,STANISLAUS SURGICAL HOSPITAL,MEMORIAL MEDICAL CENTER,1421 OAKDALE ROAD,1700 COFFEE RD,MODESTO,MODESTO,CA,CA
46037,-0.5578722855764803,COORDINATED HEALTH ORTHOPEDIC HOSPITAL,GEISINGER-LEWISTOWN HOSPITAL,2310 HIGHLAND AVENUE,400 HIGHLAND AVENUE,LEWISTOWN,BETHLEHEM,PA,PA
442660,-0.5578058147829392,KERN MEDICAL CENTER,MERCY HOSPITAL,1700 MOUNT VERNON AVENUE,2215 TRUXTUN AVENUE,BAKERSFIELD,BAKERSFIELD,CA,CA
418911,-0.5575796338623353,KEARNY COUNTY HOSPITAL,COFFEY COUNTY HOSPITAL,500 THORPE STREET,801 NORTH 4TH STREET,BURLINGTON,LAKIN,KS,KS
518124,-0.5574787199799863,KELL WEST REGIONAL HOSPITAL,UNITED REGIONAL HEALTH CARE SYSTEM,5402 KELL WEST BOULEVARD,1600 11TH STREET,WICHITA FALLS,WICHITA FALLS,TX,TX
547513,-0.557247120332844,"HACIENDA CHILDREN'S HOSPITAL, INC.",BANNER HEART HOSPITAL,610 WEST JEROME AVENUE,6750 EAST BAYWOOD AVENUE,MESA,MESA,AZ,AZ
91828,-0.5570050288204447,USMD HOSPITAL AT ARLINGTON L P,TEXAS HEALTH ARLINGTON MEMORIAL HOSPITAL,801 W INTERSTATE 20,800 W RANDOL MILL RD,ARLINGTON,ARLINGTON,TX,TX
364165,-0.5569088373993618,RIVER FALLS AREA HOSPITAL,ST AGNES HOSPITAL,1629 E DIVISION ST,430 E DIVISION ST,FOND DU LAC,RIVER FALLS,WI,WI
426368,-0.5565150179996845,SAN MATEO MEDICAL CENTER,LUTHERAN MEDICAL CENTER,222 W 39TH AVE,8300 W 38TH AVE,WHEAT RIDGE,SAN MATEO,CO,CA
60512,-0.5557515451004202,WARNER HOSPITAL AND HEALTH SERVICES,ST VINCENT HOSPITAL & HEALTH SERVICES,422 W WHITE ST,2001 W 86TH ST,INDIANAPOLIS,CLINTON,IN,IL
452164,-0.5557167098129702,HSHS ST CLARE MEMORIAL HOSPITAL,ST CLARE HOSPITAL,855 S MAIN ST,11315 BRIDGEPORT WAY S W,LAKEWOOD,OCONTO FALLS,WA,WI
152113,-0.5556976741769065,BANNER BEHAVIORAL HEALTH HOSPITAL,BANNER HEART HOSPITAL,7575 EAST EARLL DRIVE,6750 EAST BAYWOOD AVENUE,MESA,SCOTTSDALE,AZ,AZ
325222,-0.5549216806626803,STEVENS COUNTY HOSPITAL,STEPHENS COUNTY HOSPITAL,1006 S JACKSON,163 HOSPITAL DRIVE,TOCCOA,HUGOTON,GA,KS
517074,-0.5547798994795452,SANFORD MEDICAL CENTER HILLSBORO,SANFORD MEDICAL CENTER FARGO,12 THIRD STREET SE,801 BROADWAY NORTH,FARGO,HILLSBORO,ND,ND
244527,-0.5544449800317486,SIOUX FALLS SPECIALTY HOSPITAL LLP,MERCY MEDICAL CENTER-SIOUX CITY,910 EAST 20TH STREET,801 5TH ST,SIOUX CITY,SIOUX FALLS,IA,SD
459842,-0.5543366791714507,JEWELL COUNTY HOSPITAL,SOUTH COUNTY HOSPITAL INC,100 CRESTVUE AVE,100 KENYON AVE,WAKEFIELD,MANKATO,RI,KS
321700,-0.5540744270300038,TRISTAR ASHLAND CITY MEDICAL CENTER,CEDAR CITY HOSPITAL,313 NORTH MAIN ST,1303 NORTH MAIN STREET,CEDAR CITY,ASHLAND CITY,UT,TN
256770,-0.5537621716549499,CEDAR COUNTY MEMORIAL HOSPITAL,STURDY MEMORIAL HOSPITAL,1401 SOUTH PARK STREET,211 PARK STREET,ATTLEBORO,EL DORADO SPRINGS,MA,MO
65706,-0.5525735799454197,ADVANCED SURGICAL HOSPITAL,LANSDALE HOSPITAL,100 TRICH DRIVE,100 MEDICAL CAMPUS DRIVE,LANSDALE,WASHINGTON,PA,PA
97145,-0.5525322975251024,HEART OF TEXAS MEMORIAL HOSPITAL,TEXAS HEALTH HEART & VASCULAR HOSPITAL ARLINGTON,2008 NINE ROAD,811 WRIGHT STREET,ARLINGTON,BRADY,TX,TX
44636,-0.5524085245251071,SELBY GENERAL HOSPITAL,MARION GENERAL HOSPITAL,1106 COLEGATE DRIVE,1000 MCKINLEY PARK DRIVE,MARION,MARIETTA,OH,OH
299577,-0.5523541889661182,FOND DU LAC COUNTY ACUTE PSYCH UNIT,ST AGNES HOSPITAL,459 E FIRST ST,430 E DIVISION ST,FOND DU LAC,FOND DU LAC,WI,WI
564312,-0.5518739332230018,"COPPER SPRINGS HOSPITAL, LLC",ABRAZO WEST CAMPUS,10550 WEST MCDOWELL ROAD,13677 WEST MCDOWELL ROAD,GOODYEAR,AVONDALE,AZ,AZ
498547,-0.551472624160466,WAUPUN MEMORIAL HOSPITAL,SHERIDAN MEMORIAL HOSPITAL,620 W BROWN ST,1401 W 5TH ST,SHERIDAN,WAUPUN,WY,WI
100527,-0.551417562653274,GRISELL MEMORIAL HOSPITAL,MEMORIAL HOSPITAL,210 SOUTH VERMONT AVENUE,715 SOUTH TAFT AVENUE,FREMONT,RANSOM,OH,KS
267122,-0.5505001645383086,HIGHLANDS BEHAVIORAL HEALTH SYSTEM,CENTURA HEALTH-LITTLETON ADVENTIST HOSPITAL,8565 S POPLAR WAY,7700 S BROADWAY,LITTLETON,LITTLETON,CO,CO
131121,-0.550354748565003,PRAIRIE ST JOHNS,ESSENTIA HEALTH-FARGO,510 4TH STREET SOUTH,3000 32ND AVE SOUTH,FARGO,FARGO,ND,ND
301550,-0.5503204129164642,BINGHAM MEMORIAL HOSPITAL,MADISON MEMORIAL HOSPITAL,98 POPLAR STREET,450 EAST MAIN STREET,REXBURG,BLACKFOOT,ID,ID
306319,-0.5497673713040727,CRAWFORD COUNTY MEMORIAL HOSPITAL,SALINE MEMORIAL HOSPITAL,100 MEDICAL PARKWAY,#1 MEDICAL PARK DRIVE,BENTON,DENISON,AR,IA
197867,-0.5496730248142871,ST VINCENT RANDOLPH HOSPITAL INC,ST VINCENT ANDERSON REGIONAL HOSPITAL INC,473 E GREENVILLE AVE,2015 JACKSON ST,ANDERSON,WINCHESTER,IN,IN
377635,-0.5486388285800132,NEW LONDON HOSPITAL,NEW YORK-PRESBYTERIAN HOSPITAL,273 COUNTY ROAD,525 EAST 68TH STREET,NEW YORK,NEW LONDON,NY,NH
309255,-0.5486298452300252,BUTLER HOSPITAL,THE MIRIAM HOSPITAL,345 BLACKSTONE BLVD,164 SUMMIT AVENUE,PROVIDENCE,PROVIDENCE,RI,RI
64240,-0.5485162325401537,HANCOCK COUNTY HEALTH SYSTEM,HANCOCK REGIONAL HOSPITAL,532 1ST ST NW,801 N STATE ST,GREENFIELD,BRITT,IN,IA
449290,-0.5485094681099274,POMERENE HOSPITAL,WOOD COUNTY HOSPITAL,981 WOOSTER ROAD,950 WEST WOOSTER STREET,BOWLING GREEN,MILLERSBURG,OH,OH
508094,-0.5484012189323806,CIMARRON MEMORIAL HOSPITAL,HARRINGTON MEMORIAL HOSPITAL-1,100 SOUTH ELLIS,100 SOUTH STREET,SOUTHBRIDGE,BOISE CITY,MA,OK
477150,-0.5479484463511571,FRIO REGIONAL HOSPITAL,RIO GRANDE REGIONAL HOSPITAL,200 S IH 35,101 E RIDGE RD,MCALLEN,PEARSALL,TX,TX
251600,-0.5479315708905678,ORTHOINDY HOSPITAL,INDIANA UNIVERSITY HEALTH,8400 NORTHWEST BLVD,1701 N SENATE BLVD,INDIANAPOLIS,INDIANAPOLIS,IN,IN
526376,-0.5477431372063946,KNOXVILLE HOSPITAL & CLINICS,YORK HOSPITAL,1002 SOUTH LINCOLN STREET,1001 SOUTH GEORGE STREET,YORK,KNOXVILLE,PA,IA
163727,-0.5475975526703226,LARKIN COMMUNITY HOSPITAL BEHAVIORAL HEALTH SRVS,NAPLES COMMUNITY HOSPITAL,1201 N 37TH AVE,350 7TH ST N,NAPLES,HOLLYWOOD,FL,FL
208370,-0.5475883334739289,COMMUNITY MEMORIAL HOSPITAL,COMMUNITY MEMORIAL HOSPITAL SAN BUENAVENTURA,208 N COLUMBUS ST,147 N BRENT ST,VENTURA,HICKSVILLE,CA,OH
249250,-0.5469294948134767,JEFFERSON HEALTHCARE,MEMORIAL HEALTHCARE,834 SHERIDAN STREET,826 WEST KING STREET,OWOSSO,PORT TOWNSEND,MI,WA
455559,-0.5467933243810086,SHERIDAN MEMORIAL HOSPTIAL,SHERIDAN MEMORIAL HOSPITAL,440 W LAUREL AVE,1401 W 5TH ST,SHERIDAN,PLENTYWOOD,WY,MT
219655,-0.5467800750383256,PERRY MEMORIAL HOSPITAL,PRESENCE COVENANT MEDICAL CENTER,530 PARK AVENUE EAST,1400 WEST PARK AVENUE,URBANA,PRINCETON,IL,IL
104258,-0.5458793116461643,GROVE CREEK MEDICAL CENTER,GROVE CITY MEDICAL CENTER,350 NORTH MERIDIAN STREET,631 NORTH BROAD STREET EXT.,GROVE CITY,BLACKFOOT,PA,ID
347470,-0.5457978704194416,PALO VERDE BEHAVIORAL HEALTH,ST JOSEPH'S HOSPITAL,2695 NORTH CRAYCROFT ROAD,350 NORTH WILMOT ROAD,TUCSON,TUCSON,AZ,AZ
547718,-0.5456868332389825,ASPIRUS LANGLADE HOSPITAL,DEACONESS HOSPITAL,112 E FIFTH AVE,W 800 FIFTH AVENUE,SPOKANE,ANTIGO,WA,WI
542546,-0.5456581074905676,SOUTH FLORIDA STATE HOSPITAL,MEMORIAL HOSPITAL PEMBROKE,800 E CYPRESS DR,7800 SHERIDAN ST,PEMBROKE PINES,PEMBROKE PINES,FL,FL
507679,-0.5455449961415142,ELECTRA MEMORIAL HOSPITAL,MEMORIAL HOSPITAL,1207 S BAILEY STREET,1204 MOUND ST,NACOGDOCHES,ELECTRA,TX,TX
356739,-0.5454121949499441,CLOUD COUNTY HEALTH CENTER,MIAMI COUNTY MEDICAL CENTER,1100 HIGHLAND DRIVE,2100 BAPTISTE DRIVE,PAOLA,CONCORDIA,KS,KS
195534,-0.5453121951767786,TOMAH MEMORIAL HOSPITAL,BEAVER DAM COMMUNITY HOSPITAL,501 GOPHER DR,707 S UNIVERSITY AVE,BEAVER DAM,TOMAH,WI,WI
11491,-0.5452965812463015,COMMUNITY HOSPITAL,GRAYS HARBOR COMMUNITY HOSPITAL,2000 CAMPBELL DRIVE,915 ANDERSON DRIVE,ABERDEEN,TORRINGTON,WA,WY
395461,-0.544565276175645,ADVENTHEALTH WAUCHULA,WESTCHESTER GENERAL HOSPITAL,735 S 5TH AVE,2500 SW 75TH AVE,MIAMI,WAUCHULA,FL,FL
195328,-0.5443836050885291,THE MEDICAL CENTER AT CAVERNA,"MEDICAL CENTER OF AURORA, THE",1501 SOUTH DIXIE STREET,1501 S POTOMAC ST,AURORA,HORSE CAVE,CO,KY
467395,-0.5432096061776922,WELLSTONE REGIONAL HOSPITAL,CLARK MEMORIAL HOSPITAL,2700 VISSING PARK RD,1220 MISSOURI AVE,JEFFERSONVILLE,JEFFERSONVILLE,IN,IN
381833,-0.5419715191440595,WILLS MEMORIAL HOSPITAL,ELIZA COFFEE MEMORIAL HOSPITAL,120 GORDON STREET,205 MARENGO STREET,FLORENCE,WASHINGTON,AL,GA
541137,-0.5416786651895957,ST VINCENT FISHERS HOSPITAL INC,ST VINCENT ANDERSON REGIONAL HOSPITAL INC,13861 OLIO ROAD,2015 JACKSON ST,ANDERSON,FISHERS,IN,IN
313650,-0.5413690917139983,DANVILLE STATE HOSPITAL,DANVILLE REGIONAL MEDICAL CENTER,50 KIRKBRIDE DRIVE,142 SOUTH MAIN STREET,DANVILLE,DANVILLE,VA,PA
267330,-0.5411896091223495,SUTTER SURGICAL HOSPITAL - NORTH VALLEY,SUTTER COAST HOSPITAL,455 PLUMAS BLVD,800 E WASHINGTON BLVD,CRESCENT CITY,YUBA CITY,CA,CA
99360,-0.5401380486815109,EAST CARROLL PARISH HOSPITAL,WEST CARROLL MEMORIAL HOSPITAL,336 NORTH HOOD STREET,706 ROSS STREET,OAK GROVE,LAKE PROVIDENCE,LA,LA
47939,-0.5398787111177016,PERKINS COUNTY HEALTH SERVICES,FAITH REGIONAL HEALTH SERVICES,900 LINCOLN AVE,2700 WEST NORFOLK AVE,NORFOLK,GRANT,NE,NE
548383,-0.5398228906496958,BUENA VISTA REGIONAL MEDICAL CENTER,LAKEVIEW MEDICAL CENTER,1525 WEST 5TH STREET,1700 WEST STOUT STREET,RICE LAKE,STORM LAKE,WI,IA
439032,-0.539405052407488,TYRONE REGIONAL HEALTH NETWORK,LAKE REGIONAL HEALTH SYSTEM,187 HOSPITAL DRIVE,54 HOSPITAL DRIVE,OSAGE BEACH,TYRONE,MO,PA
27605,-0.5386075733927618,BROOKE GLEN BEHAVIORAL HOSPITAL,PALMERTON HOSPITAL,7170 LAFAYETTE AVENUE,135 LAFAYETTE AVENUE,PALMERTON,FORT WASHINGTON,PA,PA
525932,-0.538291836706662,WASHINGTON COUNTY MEMORIAL HOSPITAL,MERCY HOSPITAL WASHINGTON,300 HEALTH WAY,901 EAST 5TH STREET,WASHINGTON,POTOSI,MO,MO
532643,-0.5381715585489617,GULFPORT BEHAVIORAL HEALTH  SYSTEM,FORREST GENERAL HOSPITAL,11150 US HIGHWAY 49 NORTH,6051 US HIGHWAY 49,HATTIESBURG,GPT,MS,MS
428290,-0.5380966431968851,MEMORIAL HERMANN SURGICAL HOSPITAL KINGWOOD,KINGWOOD MEDICAL CENTER,300 KINGWOOD MEDICAL DRIVE,22999 US HWY 59,KINGWOOD,KINGWOOD,TX,TX
224573,-0.5380110769506097,STONEWALL MEMORIAL HOSPITAL,"CHENANGO MEMORIAL HOSPITAL, INC",821 NORTH BROADWAY,179 NORTH BROAD STREET,NORWICH,ASPERMONT,NY,TX
535950,-0.5377986023322274,COLORADO RIVER MEDICAL CENTER,NORTH COLORADO MEDICAL CENTER,1401 BAILEY AVE,1801 16TH STREET,GREELEY,NEEDLES,CO,CA
180189,-0.5375105921547838,PARKWOOD BEHAVIORAL HEALTH SYSTEM,METHODIST HEALTHCARE - OLIVE BRANCH HOSPITAL,8135 GOODMAN ROAD,4250 BETHEL ROAD,OLIVE BRANCH,OLIVE BRANCH,MS,MS
109379,-0.5369356667557136,MINNIE HAMILTON HEALTH SYSTEM,LAKE REGIONAL HEALTH SYSTEM,186 HOSPITAL DRIVE,54 HOSPITAL DRIVE,OSAGE BEACH,GRANTSVILLE,MO,WV
426911,-0.5366019776871479,"MERCY HOSPITAL, INC",MERCY HOSPITAL,218 E PACK STREET,500 E MARKET STREET,IOWA CITY,MOUNDRIDGE,IA,KS
504911,-0.5365415827565944,OCEANS BEHAVIORAL HOSPITAL OF OPELOUSAS,OPELOUSAS GENERAL HEALTH SYSTEM,1310 HEATHER DRIVE,539 EAST PRUDHOMME STREET,OPELOUSAS,OPELOUSAS,LA,LA
260252,-0.536240562136866,THAYER COUNTY HEALTH SERVICES,FAITH REGIONAL HEALTH SERVICES,120 PARK AVE,2700 WEST NORFOLK AVE,NORFOLK,HEBRON,NE,NE
184236,-0.536063071090361,CANYON RIDGE HOSPITAL,CANDLER HOSPITAL,5353 G STREET,5353 REYNOLDS STREET,SAVANNAH,CHINO,GA,CA
325430,-0.5360596020639258,SHANDS STARKE REGIONAL MEDICAL CENTER,SHANDS LAKE SHORE REGIONAL MEDICAL CENTER,922 E CALL ST,368 NE FRANKLIN ST,LAKE CITY,STARKE,FL,FL
520513,-0.5360149029749977,SPARTA COMMUNITY HOSPITAL,BOONE HOSPITAL CENTER,818 E BROADWAY,1600 E BROADWAY,COLUMBIA,SPARTA,MO,IL
362945,-0.5359277481943728,MOSAIC MEDICAL CENTER ALBANY,THE MEDICAL CENTER AT ALBANY,705 N COLLEGE STREET,723 BURKESVILLE ROAD,ALBANY,ALBANY,KY,MO
339586,-0.5358200458024857,UT HEALTH EAST TEXAS PITTSBURG HOSPITAL,UNIVERSITY OF TEXAS HEALTH SCIENCE CENTER AT TYLER,2701 US HWY 271 N,11937 US HIGHWAY 271,TYLER,PITTSBURG,TX,TX
234774,-0.5357823692671387,FAIRVIEW DEVELOPMENTAL CENTER,FAIRVIEW PARK HOSPITAL,2501 HARBOR BOULEVARD,200 INDUSTRIAL BOULEVARD,DUBLIN,COSTA MESA,GA,CA
35414,-0.5349346865305568,SOUTHEASTERN REGIONAL MEDICAL CENTER,MEADOWS REGIONAL MEDICAL CENTER,600 CELEBRATE LIFE PARKWAY,ONE MEADOWS PARKWAY,VIDALIA,NEWNAN,GA,GA
373230,-0.5346741729136746,TORRANCE STATE HOSPITAL,TORRANCE MEMORIAL MEDICAL CENTER,121 LONGVIEW DRIVE,3330 LOMITA BLVD,TORRANCE,TORRANCE,CA,PA
7621,-0.5339699015399428,COLUMBIA MEMORIAL HOSPITAL,COLUMBIA MEMORIAL HOSPITAL,2111 EXCHANGE STREET,71 PROSPECT AVENUE,HUDSON,ASTORIA,NY,OR
137767,-0.5334347013988245,LIBERTY DAYTON REGIONAL MEDICAL CENTER,LONGVIEW REGIONAL MEDICAL CENTER,1353 N TRAVIS ST,2901 N FOURTH ST,LONGVIEW,LIBERTY,TX,TX
87418,-0.5332586243549745,CARROLLTON SPRINGS,TANNER MEDICAL CENTER - CARROLLTON,2225 PARKER ROAD,705 DIXIE STREET,CARROLLTON,CARROLLTON,GA,TX
522513,-0.5329701630457588,WESTPARK SPRINGS LLC,REID HEALTH,6902 S PEEK ROAD,1100 REID PKWY,RICHMOND,RICHMOND,IN,TX
214282,-0.5325475064807452,WARM SPRINGS MEDICAL CENTER,CLEARVIEW  REGIONAL MEDICAL CENTER,5995 SPRING STREET,2151 WEST SPRING STREET,MONROE,WARM SPRINGS,GA,GA
434585,-0.5319675808376417,KIOWA DISTRICT HOSPITAL,COFFEY COUNTY HOSPITAL,1002 SOUTH 4TH STREET,801 NORTH 4TH STREET,BURLINGTON,KIOWA,KS,KS
155056,-0.5316260104476965,HANCOCK COUNTY HOSPITAL,HOUSTON COUNTY COMMUNITY HOSPITAL,1519 MAIN STREET HWY 33,5001 EAST MAIN STREET,ERIN,SNEEDVILLE,TN,TN
10235,-0.5314877068570425,WEEKS MEDICAL CENTER,FAIRFIELD MEDICAL CENTER,173 MIDDLE STREET,401 NORTH EWING STREET,LANCASTER,LANCASTER,OH,NH
33768,-0.5313641809237158,THEDACARE MEDICAL CENTER - WILD ROSE INC,THEDACARE REGIONAL MEDICAL CENTER - NEENAH INC,601 GROVE AVE,130 2ND ST,NEENAH,WILD ROSE,WI,WI
524471,-0.531319761531817,NORTH CENTRAL SURGICAL CENTER LLP,NORTH AUSTIN MEDICAL CENTER,9301 NORTH CENTRAL EXPRESSWAY SUITE 100,12221 MOPAC EXPRESSWAY NORTH,AUSTIN,DALLAS,TX,TX
505142,-0.5308818833453615,PARK CITY HOSPITAL,MONTEREY PARK HOSPITAL,900 ROUND VALLEY DRIVE,900 S ATLANTIC BLVD,MONTEREY PARK,PARK CITY,CA,UT
338808,-0.5307675494836467,JACKSON COUNTY REGIONAL HEALTH CENTER,PHELPS COUNTY REGIONAL MEDICAL CENTER,700 W GROVE ST,1000 W 10TH ST,ROLLA,MAQUOKETA,MO,IA
559886,-0.5304280442852646,OHIO COUNTY HOSPITAL,MADISON COUNTY HOSPITAL INC,1211 OLD MAIN STREET,210 NORTH MAIN STREET,LONDON,HARTFORD,OH,KY
263386,-0.5301492042279815,MIDMICHIGAN MEDICAL CENTER-GLADWIN,MIDMICHIGAN MEDICAL CENTER-MIDLAND,515 QUARTER STREET,4000 WELLNESS DRIVE,MIDLAND,GLADWIN,MI,MI
465758,-0.530094856338568,AVERA ST ANTHONY'S HOSPITAL,ST ANTHONY HOSPITAL,300 NORTH 2ND ST,1000 NORTH LEE AVENUE,OKLAHOMA CITY,O' NEILL,OK,NE
221393,-0.5295158251727388,POWELL VALLEY HOSPITAL,VALLEY HOSPITAL,777 AVENUE H,12606 EAST MISSION AVENUE,SPOKANE,POWELL,WA,WY
443936,-0.5293518891877445,JACKSON GENERAL HOSPITAL,JACKSON-MADISON COUNTY GENERAL HOSPITAL,122 PINNELL ST,620 SKYLINE DRIVE,JACKSON,RIPLEY,TN,WV
421856,-0.5292213347066052,ROOSEVELT GENERAL HOSPITAL,FORREST GENERAL HOSPITAL,42121 US HIGHWAY 70,6051 US HIGHWAY 49,HATTIESBURG,PORTALES,MS,NM
492439,-0.5289169563881067,LARABIDA CHILDRENS HOSPITAL I,MT SINAI HOSPITAL MEDICAL CENTER,E 65TH ST AT LAKE MICHIGAN,15TH STREET AT CALIFORNIA,CHICAGO,CHICAGO,IL,IL
10422,-0.5288048566753861,"COMPASS BEHAVIORAL CENTER OF ALEXANDRIA, INC",CHRISTUS ST FRANCES CABRINI HOSPITAL,6410 MASONIC DRIVE,3330 MASONIC DRIVE,ALEXANDRIA,ALEXANDRIA,LA,LA
522965,-0.5286833015047969,PAWNEE VALLEY COMMUNITY HOSPITAL,ILLINOIS VALLEY COMMUNITY HOSPITAL,923 CARROLL AVENUE,925 WEST ST,PERU,LARNED,IL,KS
254606,-0.5279215649687429,ALLIANCEHEALTH MADILL,ALLIANCEHEALTH PONCA CITY,901 S 5TH AVE,1900 NORTH 14TH STREET,PONCA CITY,MADILL,OK,OK
51562,-0.5278470939709531,HAWKINS COUNTY MEMORIAL HOSPITAL,MEMORIAL HOSPITAL,851 LOCUST STREET,1401 WEST LOCUST,STILWELL,ROGERSVILLE,OK,TN
116980,-0.5274805022179474,UPMC COLE,UPMC MERCY,1001 EAST SECOND STREET,1400 LOCUST STREET,PITTSBURGH,COUDERSPORT,PA,PA
403079,-0.5274291307869527,CHI HEALTH MISSOURI VALLEY,CHI HEALTH ST ELIZABETH,631 N 8TH ST,555 SOUTH 70TH ST,LINCOLN,MISSOURI VALLEY,NE,IA
197250,-0.5270340281559862,MERCY HOSPITAL TISHOMINGO,HIGHLAND HOSPITAL,1000 SOUTH BYRD,1000 SOUTH AVENUE,ROCHESTER,TISHOMINGO,NY,OK
4794,-0.5269576858601036,MOUNT WASHINGTON PEDIATRIC HOSPITAL,SINAI HOSPITAL OF BALTIMORE,1708 WEST ROGERS AVENUE,2401 WEST BELVEDERE AVENUE,BALTIMORE,BALTIMORE,MD,MD
260671,-0.5269118698626011,"FRANCISCAN HEALTH RENSSELAER, INC",FRANCISCAN HEALTH LAFAYETTE,1104 E GRACE ST,1701 S CREASY LN,LAFAYETTE,RENSSELAER,IN,IN
431458,-0.5267224549578221,PRESBYTERIAN ESPANOLA HOSPITAL,PENNSYLVANIA HOSPITAL,1010 SPRUCE STREET,800 SPRUCE STREET,PHILADELPHIA,ESPANOLA,PA,NM
465161,-0.52630062478061,FRIENDS HOSPITAL,PENNSYLVANIA HOSPITAL,4641 ROOSEVELT BOULEVARD,800 SPRUCE STREET,PHILADELPHIA,PHILADELPHIA,PA,PA
263747,-0.52599439723405,"HENRY COUNTY HOSPITAL, INC",PINEVILLE COMMUNITY HOSPITAL,1600 EAST RIVERVIEW AVENUE,850 RIVERVIEW AVENUE,PINEVILLE,NAPOLEON,KY,OH
295742,-0.525957251689486,SAN LUIS VALLEY HEALTH CONEJOS COUNTY HOSPITAL,SAN LUIS VALLEY HEALTH,19021 US HIGHWAY 285,106 BLANCA AVE,ALAMOSA,LA JARA,CO,CO
72686,-0.5252423953836785,ABRAHAM LINCOLN MEMORIAL HOSPITAL,MEMORIAL HOSPITAL,200 STAHLHUT DRIVE,4500 MEMORIAL DRIVE,BELLEVILLE,LINCOLN,IL,IL
255322,-0.5246928611078849,NORTH ALABAMA MEDICAL CENTER,EAST ALABAMA MEDICAL CENTER,1701 VETERANS DRIVE,2000 PEPPERELL PARKWAY,OPELIKA,FLORENCE,AL,AL
167241,-0.5240196128192465,STAR VALLEY MEDICAL CENTER,OHIO VALLEY MEDICAL CENTER,901 ADAMS STREET,2000 EOFF STREET,WHEELING,AFTON,WV,WY
177485,-0.5234979849189786,ORTHONEBRASKA HOSPITAL,METHODIST HOSPITAL,2808 SOUTH 143RD PLZ,8303 DODGE ST,OMAHA,OMAHA,NE,NE
76541,-0.5232106851097195,DALLAS COUNTY HOSPITAL,CLINTON MEMORIAL HOSPITAL,610 TENTH STREET,610 WEST MAIN STREET,WILMINGTON,PERRY,OH,IA
8912,-0.5227685362157971,REGIONAL WEST GARDEN COUNTY HOSPITAL,TYLER COUNTY HOSPITAL,1100 WEST 2ND ST,1100 WEST BLUFF,WOODVILLE,OSHKOSH,TX,NE
79032,-0.5226805366447338,PETERSBURG MEDICAL CENTER,EASTERN MAINE MEDICAL CENTER,PO BOX 589,PO BOX 404,BANGOR,PETERSBURG,ME,AK
380327,-0.5223674250453482,JACKSON HEALTHCARE CENTER,TENNOVA HEALTHCARE-REGIONAL JACKSON,1013 S WELLS,367 HOSPITAL BLVD,JACKSON,EDNA,TN,TX
135345,-0.5222273483036333,CALAIS REGIONAL HOSPITAL,HANNIBAL REGIONAL HOSPITAL,24 HOSPITAL LANE,6000 HOSPITAL DR,HANNIBAL,CALAIS,MO,ME
448639,-0.5221980362907032,SAKAKAWEA MEDICAL CENTER - CAH,SANFORD MEDICAL CENTER BISMARCK,510 8TH AVENUE NE,300 N 7TH ST,BISMARCK,HAZEN,ND,ND
64036,-0.5219266320155076,GUTTENBERG MUNICIPAL HOSPITAL,BELLEVUE HOSPITAL,200 MAIN STREET,1400 WEST MAIN STREET,BELLEVUE,GUTTENBERG,OH,IA
413694,-0.5215195451712783,SOLDIERS AND SAILORS MEMORIAL HOSPITAL OF YATES,SOLDIERS AND SAILORS MEMORIAL HOSPITAL,418 NORTH MAIN STREET,32-36 CENTRAL AVENUE,WELLSBORO,PENN YAN,PA,NY
509303,-0.5201330529957124,OREM COMMUNITY HOSPITAL,UTAH VALLEY HOSPITAL,331 NORTH 400 WEST,1034 NORTH 500 WEST,PROVO,OREM,UT,UT
518895,-0.5198009714191043,WEISBROD MEMORIAL COUNTY HOSPITAL,DELTA COUNTY MEMORIAL HOSPITAL,1208 LUTHER STREET,1501 E 3RD STREET,DELTA,EADS,CO,CO
498772,-0.5197795360709149,AURORA CHICAGO LAKESHORE HOSPITAL,LOUIS A WEISS MEMORIAL HOSPITAL,4840 N MARINE DR,4646 N MARINE DRIVE,CHICAGO,CHICAGO,IL,IL
61559,-0.5194304098992987,AVERA DE SMET MEMORIAL HOSPITAL - CAH,AVERA ST LUKES,306 PRAIRIE AVENUE SW  POST OFFICE BOX 160,305 S STATE ST  POST OFFICE BOX 4450,ABERDEEN,DE SMET,SD,SD
177047,-0.518792483804236,UNITY MEDICAL CENTER,CATHOLIC MEDICAL CENTER,481 INTERSTATE DRIVE,100 MCGREGOR STREET,MANCHESTER,MANCHESTER,NH,TN
497240,-0.5177750335798182,SOUTHERN SURGICAL HOSPITAL,SLIDELL MEMORIAL HOSPITAL,1700 W LINDBERG DRIVE,1001 GAUSE BLVD,SLIDELL,SLIDELL,LA,LA
